Time	Control	Blue	Green	Red
2:00:00	2	303	69	452
2:00:00	1	36	30	617
2:00:00	0	106	31	389
2:00:00	0	440	378	371
2:00:00	0	828	NA	NA
5:00:00	282	251	86	91
5:00:00	97	98	130	123
5:00:00	186	97	30	27
5:00:00	13	84	0	NA
5:00:00	5	19	NA	NA
14:00:00	75	11	5	45
14:00:00	47	48	0	111
14:00:00	52	47	0	88
14:00:00	0	0	0	18
14:00:00	0	0	NA	NA
17:00:00	8	18	2	40
17:00:00	10	29	2	16
17:00:00	3	0	0	0
17:00:00	0	0	0	0
17:00:00	0	0	NA	NA
20:00:00	121	18	60	192
20:00:00	47	0	95	148
20:00:00	6	0	67	74
20:00:00	0	0	80	13
20:00:00	0	0	NA	NA
23:00:00	284	183	50	11
23:00:00	104	323	41	30
23:00:00	94	153	17	10
23:00:00	25	95	19	0
23:00:00	112	NA	NA	NA
