"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=coords,acconly"
"Access Time","Mon 2017-03-13 20:35:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","coords,acconly"
"Elapsed Time","0.168"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"214431","occ","","","123959","Kalotermes disruptus","species","217465","Priabonian","","38","33.9","5003","-1.360000","50.737999"
"215428","occ","","","21981","Mylacridae","family","179328","Westphalian D","","311.45","306.95","39059","-88.385002","41.340000"
"215431","occ","","","21981","Orthomylacris rigida","species","211827","Westphalian D","","311.45","306.95","39059","-88.385002","41.340000"
"215435","occ","","","21981","Paromylacris rotunda","species","179324","Westphalian D","","311.45","306.95","35478","-88.385002","41.340000"
"215436","occ","","","122521","Promylacris ovalis","species","179322","Westphalian D","","311.45","306.95","35478","-88.385002","41.340000"
"215438","occ","","","146857","Asemoblatta danielsi","species","226621","Westphalian D","","311.45","306.95","37094","-88.385002","41.340000"
"247296","occ","","","24181","Hodotermitidae","family","107072","Late Miocene","Pliocene","11.608","2.588","6838","18.666668","16.333332"
"293775","occ","","","28006","Blattoidea","superfamily","191945","Late Barremian","","130","125.45","7671","-1.880849","40.064526"
"339272","occ","","","32050","Termitidae","family","179827","Pliocene","","5.333","2.588","4451","35.130001","-3.130000"
"570349","occ","","","59839","Hodotermitidae","family","107072","Messinian","","7.246","5.333","17171","17.475000","16.241667"
"633374","occ","","","68174","Mastotermitinae","subfamily","91839","Ypresian","","56","47.8","19606","2.650000","49.349998"
"633375","occ","","","68174","Kalotermitidae","family","71740","Ypresian","","56","47.8","19606","2.650000","49.349998"
"633388","occ","","","68174","Blattoidea","superfamily","191945","Ypresian","","56","47.8","19606","2.650000","49.349998"
"697325","occ","","","74972","Valditermes brenanae","species","107077","Late Hauterivian","","136.4","130","25291","-0.325000","51.133331"
