Group,Sex,Sci_name,Order,Family,Distance,Light_intensity,Time,Grid line
Control1,M,Blattella germanica,Blattodea,Blattellidae,23,102.3,342,2
Control2,M,Blattella germanica,Blattodea,Blattellidae,11,102.3,242,1
Control3,M,Blattella germanica,Blattodea,Blattellidae,0,102.3,421,0
Control4,F,Blattella germanica,Blattodea,Blattellidae,0,102.3,534,0
Control5,F,Blattella germanica,Blattodea,Blattellidae,0,102.3,128,0
Control6,F,Blattella germanica,Blattodea,Blattellidae,23,102.3,421,1
Blue1,M,Blattella germanica,Blattodea,Blattellidae,13,104.5,523,29
Blue2,M,Blattella germanica,Blattodea,Blattellidae,0,104.5,574,32
Blue3,M,Blattella germanica,Blattodea,Blattellidae,4,104.5,134,37
Blue4,F,Blattella germanica,Blattodea,Blattellidae,0,104.5,526,30
Blue5,F,Blattella germanica,Blattodea,Blattellidae,5,104.5,724,59
Blue6,F,Blattella germanica,Blattodea,Blattellidae,10,104.5,264,70
Green1,M,Blattella germanica,Blattodea,Blattellidae,21,101.8,400,69
Green2,M,Blattella germanica,Blattodea,Blattellidae,11,101.8,250,30
Green3,M,Blattella germanica,Blattodea,Blattellidae,30,101.8,293,31
Green4,F,Blattella germanica,Blattodea,Blattellidae,0,101.8,975,378
Green5,F,Blattella germanica,Blattodea,Blattellidae,0,101.8,352,211
Green6,F,Blattella germanica,Blattodea,Blattellidae,0,101.8,141,352
Red1,M,Blattella germanica,Blattodea,Blattellidae,17,102.1,537,124
Red2,M,Blattella germanica,Blattodea,Blattellidae,24,102.1,277,357
Red3,M,Blattella germanica,Blattodea,Blattellidae,19,102.1,869,452
Red4,F,Blattella germanica,Blattodea,Blattellidae,0,102.1,342,617
Red5,F,Blattella germanica,Blattodea,Blattellidae,13,102.1,566,389
Red6,F,Blattella germanica,Blattodea,Blattellidae,0,102.1,244,371
